state,office,district,potential_power,pr_close,pr_tip,realized_power
OH,ushouse,1,12.5,0.1758689140605076,0.0091,0.02000508897438274
KS,ussenate,KS,12.5,0.45254003964995115,0.0033333,0.018855646427064776
WV,statesenate,,0.06899494770619499,0.26407852494291667,1.0,0.018220084018765646
VA,ushouse,5,12.5,0.1758689140605076,0.0066,0.014509185409991875
AR,ushouse,2,12.5,0.1758689140605076,0.0065,0.01428934926741624
NY,ushouse,24,12.5,0.1758689140605076,0.0062,0.013629840839689336
NH,statesenate,,0.051825833618880296,0.24795159079714754,1.0,0.01285029789018966
CA,statesenate,,1.5113456020197904,0.007152810811683605,1.0,0.010810369162317623
CA,statehouse,,1.5113456020197904,0.007121918224828271,1.0,0.0107636797870388
ME,statehouse,,0.05113604919492079,0.20515350362704293,1.0,0.010490739653982829
LA,ussenate,LA,12.5,0.45254003964995115,0.0017954,0.010156129839844028
OR,ussenate,OR,12.5,0.45254003964995115,0.0016743,0.009471097354823916
NY,ushouse,1,12.5,0.1758689140605076,0.0041,0.009013281845601014
RI,ussenate,RI,12.5,0.45254003964995115,0.0015379,0.008699516587220749
AK,statehouse,,0.028175099481325516,0.30649157331741445,1.0,0.008635430568406125
TX,statesenate,,1.0966038340478594,0.007703820909929452,1.0,0.008448039546646706
MT,ushouse,1,12.5,0.1758689140605076,0.0038,0.00835377341787411
FL,ushouse,15,12.5,0.1758689140605076,0.0037,0.008133937275298476
CO,ushouse,3,12.5,0.1758689140605076,0.0033,0.007254592704995937
PA,ushouse,1,12.5,0.1758689140605076,0.0031,0.006814920419844668
NC,ushouse,8,12.5,0.1758689140605076,0.0029,0.006375248134693399
FL,statehouse,,0.8137777016645245,0.007767993121064878,1.0,0.006321419588606012
DE,ushouse,1,12.5,0.1758689140605076,0.0027,0.0059355758495421304
FL,statesenate,,0.8137777016645245,0.006752912609798857,1.0,0.005495369703143499
NY,statesenate,,0.7466440333422671,0.007137070069497117,1.0,0.005328850782935702
NJ,ushouse,1,12.5,0.1758689140605076,0.0024,0.005276067421815227
IL,ushouse,14,12.5,0.1758689140605076,0.0023,0.005056231279239593
CA,ushouse,26,12.5,0.1758689140605076,0.0022,0.004836395136663958
IL,ushouse,9,12.5,0.1758689140605076,0.0022,0.004836395136663958
